Bedrooms,Bathrooms,Sqft,Year_Built,Price (ETH)
2,1,4292,2011,50.384
3,1,3956,2001,45.212
1,1,4307,1992,40.414
2,2,4895,2007,49.89
5,5,515,1965,22.53
5,2,1153,2008,44.406
3,3,1394,2006,43.188
5,4,2328,1995,40.855999999999995
4,1,2904,2023,54.608000000000004
6,1,4123,1953,23.046
3,1,1457,1982,30.714
4,2,1879,1967,24.858
1,1,1166,2000,38.132000000000005
5,3,1626,1960,21.652
6,5,2390,1983,35.78
2,2,2799,1993,38.698
6,4,4587,1994,45.373999999999995
6,3,1807,2018,51.513999999999996
6,1,3398,1983,36.596000000000004
3,2,1896,1961,21.392
1,1,3491,1970,27.782
4,3,2408,1986,35.716
5,5,661,2013,46.822
2,2,4035,1995,42.17
6,5,1536,1968,26.572
5,5,1492,2009,46.484
1,1,4379,1967,28.058
4,2,1797,2019,50.694
1,1,4061,2004,45.922
4,3,1711,1958,20.322
1,1,1158,1963,19.616
5,2,2853,1998,42.806
2,1,846,1987,31.492
6,3,1749,1950,17.398
2,2,3179,2011,48.458
4,1,4286,2019,55.372
3,2,3324,1973,30.248
2,2,4270,2019,54.64
6,4,1764,2011,48.227999999999994
6,6,4545,1973,35.39
4,2,2173,1961,22.445999999999998
1,1,1134,1959,17.568
4,3,1016,1977,28.432000000000002
3,1,3864,1969,29.028
5,3,2567,1996,41.534
3,1,3028,1984,34.856
6,1,2495,2023,54.79
1,1,3485,1988,36.769999999999996
3,2,4163,1986,38.426
4,1,2272,2005,44.344
5,1,4662,1991,42.624
1,1,3568,2019,52.436
5,2,1081,1996,38.262
5,2,1685,2005,43.97
1,1,3867,1952,19.534
1,1,4978,1971,31.256
6,1,3278,1973,31.356
1,1,3532,1981,33.364000000000004
5,2,1659,2023,52.918
5,4,912,1966,23.524
2,1,1178,1974,25.656
2,1,4638,1973,32.076
4,2,4828,1994,44.256
5,1,3668,1974,32.136
5,5,2756,2018,53.512
5,3,3360,1998,44.120000000000005
6,4,1246,1967,25.192
5,4,1366,1975,28.932
1,1,1676,1981,29.652
1,1,590,1959,16.48
2,2,1179,1973,25.458
3,3,1935,1951,16.77
5,2,4813,2019,57.226
1,1,3731,1956,21.262
6,5,555,2020,50.61
1,1,3099,2009,46.498000000000005
2,1,3486,2001,43.772000000000006
5,3,3308,1997,43.516000000000005
1,1,3722,1951,18.744
4,2,1526,2011,46.152
3,1,4105,1975,32.510000000000005
3,1,2499,2017,50.298
6,6,2102,1955,21.504
1,1,2108,2012,46.016000000000005
2,1,2209,1986,33.718
1,1,3073,2013,48.446
1,1,1937,1978,28.674
1,1,2896,2003,43.092
2,2,4729,1965,28.558
5,3,546,1971,24.992
5,1,3333,1974,31.466
4,3,3099,1975,31.598
5,5,4148,1974,34.296
6,3,1760,1965,24.92
1,1,4618,1951,20.536
2,2,3327,1998,42.254
3,3,4301,2005,48.502
4,1,1324,1968,23.948
3,1,1761,2016,48.322
2,2,2231,2021,51.562
6,3,2987,1955,22.374000000000002
2,2,2739,2023,53.578
3,1,835,1997,36.97
6,1,1700,1952,17.7
2,1,3119,1958,21.538
2,1,678,2015,45.156
2,2,4576,1995,43.252
2,2,1953,1976,28.506
1,1,4910,1993,42.120000000000005
2,2,2246,1985,33.592
2,1,4599,1963,26.998
4,1,4908,2016,55.116
3,1,2614,1989,36.528
5,3,3322,1983,36.544
5,3,1834,2002,43.068
1,1,1329,2009,42.958
3,1,4659,1986,39.118
4,4,1409,1971,26.518
3,2,1763,1958,19.625999999999998
6,5,1738,1981,33.476
2,2,1467,2015,47.034
5,2,3312,1960,24.724
5,1,4341,2018,55.482
5,5,1487,2018,50.974000000000004
1,1,3214,2005,44.728
2,1,3983,2011,49.766000000000005
1,1,3541,1975,30.382
3,1,3507,1990,38.814
3,1,2475,1951,17.25
2,2,3962,1974,31.524
5,3,874,1987,33.647999999999996
2,2,3870,2021,54.84
2,2,1819,1992,36.238
5,2,4920,1967,31.439999999999998
5,2,1970,1964,24.04
3,2,2306,2014,48.712
5,4,4168,1950,22.036
6,3,2359,2000,43.618
5,4,3722,2022,57.144
2,1,1483,1979,28.766000000000002
3,2,1713,2009,45.025999999999996
6,2,3334,2006,48.268
5,2,1114,1987,33.828
3,1,4792,1957,24.884
2,2,4409,2020,55.418
5,4,4347,1984,39.394
6,3,4758,1968,32.416
3,3,2913,1960,23.226
6,6,2039,1993,40.378
1,1,1137,2002,39.074
4,3,3946,1976,33.792
4,4,1062,1991,35.824
3,3,4937,2023,58.774
4,2,2334,2001,42.768
5,4,2583,2002,44.866
2,1,3794,2021,54.388000000000005
4,3,3815,2007,49.03
5,4,1291,1976,29.282
2,1,2072,1954,17.444000000000003
4,1,1572,1954,17.444000000000003
5,2,2675,2006,46.45
4,3,4785,1956,25.47
6,5,2105,1966,26.71
6,2,1554,1987,35.208
3,3,2479,2018,51.358000000000004
1,1,4529,1952,20.858
3,2,2909,1968,26.918
4,3,4226,1953,22.852
2,2,3422,2004,45.444
3,2,4296,1973,32.192
5,3,4015,1996,44.43
4,4,3103,1967,27.906
5,4,4351,1967,30.902
2,2,1739,1955,17.578
1,1,4807,1965,27.914
6,3,1056,1957,19.512
3,2,1458,2016,48.016
3,2,3093,2000,43.286
4,1,2358,2019,51.516000000000005
3,3,590,2021,49.08
4,1,1078,1996,37.456
2,1,2463,1974,28.226
5,4,4136,1969,31.472
6,2,3379,1967,28.858
1,1,2545,1959,20.39
2,1,1868,1975,27.536
3,2,4165,1977,33.93
3,3,2033,1971,26.966
6,3,3538,2021,56.476
5,3,2114,2002,43.628
5,3,3620,1950,20.64
4,1,1992,2022,52.284
6,4,985,2000,41.17
5,3,3203,2003,46.306
5,5,3005,1974,32.01
6,3,1515,2003,43.43
4,4,1442,1991,36.584
2,1,1605,1984,31.51
3,2,1047,1958,18.194
3,1,4213,1958,24.226
3,2,2440,1969,26.48
1,1,1369,1958,17.538
4,2,1561,2000,40.722
1,1,1718,1964,21.236
6,6,1184,1959,21.668
6,2,2817,1996,42.234
3,3,2013,2000,41.426
2,2,1979,1954,17.558
3,2,2906,2014,49.912
4,4,2485,2015,50.67
6,3,1461,1961,22.322
1,1,3316,1979,31.932000000000002
2,1,2105,2006,43.510000000000005
2,2,735,1970,23.07
5,4,3503,1973,32.206
2,1,1336,2016,46.972
2,2,1220,1962,20.04
3,2,545,1959,17.689999999999998
4,1,1657,1955,18.114
1,1,1017,2007,41.334
4,3,4623,1968,31.146
2,1,683,1972,23.666
3,2,3809,1958,23.718
1,1,2026,1975,27.352
6,2,2677,1991,39.454
5,4,1329,2009,45.858000000000004
2,1,4970,1959,25.740000000000002
1,1,1085,1978,26.97
4,2,4351,2005,48.802
3,2,3872,2014,51.844
6,2,1691,1952,17.982
5,3,4766,1950,22.932000000000002
5,4,2627,2018,52.954
2,2,2602,1972,27.804
5,1,3710,1950,20.22
6,2,1851,2022,53.302
3,3,3591,2007,48.082
1,1,1574,1992,34.948
2,1,2322,2000,40.944
3,2,4943,1980,36.986000000000004
5,3,2534,2011,48.968
2,1,672,1996,35.644
1,1,3150,1995,39.6
2,2,3756,2018,53.112
1,1,4376,2001,45.052
2,2,2939,1956,20.478
2,2,1308,1997,37.716
